ID,Hash,filetype,filesize,family,tag
12201,0f55a8ddf7d766fb3ae943b8098dbda63a17b9d446fbd1863cf19dc3132ceb8b,5,0,1,11
12202,129df585291d28ec179bc715a3f8ec34c5ed5d66fd051a6a4b9dc9c537cb3aee,17,3083264,1,5
12203,1526f661cc765e4d11fdcf51373ab42461cb9315c8c2b4cdae246f8b0d9d845a,5,0,1,11
12204,1690898f3c182f047cfa413ff7b266ceee687846b630f61d48447745c6d8b5ef,5,0,1,11
12205,26e8f49bcea0b0243ce7c304e6d2c1b55ec85ffdbc88e03a210917bb538945a6,1,425304,1,11
12206,2f31e58bdbbab66959218ff26f410cda42c168971ce56c4459e64e80b5759e0b,5,0,1,11
12207,c21e7a7907d80e62870103d6041f9d703f29294ab9a1d8ef7c3b9c821928f9e7,1,9171968,1,5
12208,c2a0c66c6a45363fbcfcb2f346e033165e5bbb942a737b6aec8b7624116d3e3e,5,0,1,11
12209,c89634f3436e3b6f10b618737db995118f6610548e6b6b0c7fcfbe003a44a79a,5,0,1,11
12210,e33792c53168533898992e163cc9ba8c584c3735e072f2d0d5a8653a89cf510a,1,5204480,1,11
12211,5f594c6f93a5ae7275de36e5dd6ec811da05563d636b077e3db85d9bf0ea684a,5,0,1,11
12212,90d673a0c31e89f4184a9cf103775a4e397365b15e81b9ef9d5fa97d83cc371a,18,403486,24,0
12213,27e61906fae9cf0716d0ed94d404540b46f2f532cd53eb9db7f0a723e90807ab,1,244856,1,0
12214,555ad9bc4e28efba5eb487c59ed22c69051c2d038766b7d5fdd9235c384b5645,1,522360,1,0
12215,b5fe9af692205ebc867859f7006712b34b5c4532e0895841c66d0aebb88cffc6,1,241088,1,0
12216,443d6a662cda968b1ec0cd10d057fb0bbd9572d6c4bcce0a84b37081dd3efc63,1,8057152,25,1
12217,65c26a1fbbbdfa21220491ec226831c9cd2d06f1c9e4b0338750a6b40ac47825,1,9702400,25,1
12218,74b283f110785348d4398979f8e2aebd7ec48af56ef8ad0d91d1b83170ba4a61,1,7103488,26,1
12219,e2a16ca7deb577a26e978f34bd7ee3629d74c0ed24856007a9ee6bbce381159a,1,7158768,25,1
12220,66d366fcdc0cef9a6af89a46909c9710bab0192a473f5ac583940093b990c86c,4,52523,27,0
12221,ef76d11453a632920dd5835c0f0f8a317fb187972b0a51cdf8d78560f653d35f,4,48043,27,0
12222,81596d5580cb3b6988dfd53905eb8fbf937b85b60885d01a9cd476aa98ec3a6c,19,20366154,1,11
12223,7a715a5703c0e18d89a85188e006b74805532ae9f2911bc8dce66bf4612a86b2,1,144592,1,0
12224,b51b0b2763723dcd34fb0330942959d8292f6c177b03ce6960feefe5df977440,5,0,1,11
12225,37519a7a8109405e6e83e348de3c31a70169ce3d1565fdaa5af9ad04956fff17,20,654752,28,0
12226,4f75622c2dd839fb5db7e37fb0528e38c4eb107690f51f00b5331e863dc645d1,10,816,28,0
12227,87e8c46d065ace580b1ed28565d1fddaa6df49da1ba83f7b3e9982cd8a0013f1,21,902,28,0
12228,8892279f3d87bcd44d8f9ac1af7e6da0cfc7cf1731b531056e24e98510bea83c,20,41984,28,0
12229,be3f12bcc467808c8cc30a784765df1b3abe3e7a426fda594edbc7191bbda461,20,644608,28,0
12230,c94c198d41ef84d02ca970f4252c4c020c92581f382612630673241c466715d2,20,41984,1,0
12231,c9b57ee487e04d87b3a8156eb03ce0089bae9158a5d71208b9540178a8f55810,5,0,1,11
12232,e5799d14e6ecfefb727bf22c8b9f36a8621655454a6480f3dd94812250bec9d0,20,41984,1,0
12233,8e0d4073a0e1cbee4b514d614f56a41e0616beda64e42760ee798fbb7c35332e,1,165526,29,0
12234,ab4f86a3144642346a3a40e500ace71badc06a962758522ca13801b40e9e7f4a,1,135496,30,0
12235,bd784a2d19a716b562fd8e2534109234918f94be4d07960fb4efb84a306e0ef6,1,145056,1,0
12236,eeb661c758f83740f90a2307e465221c355c585d7b0f78c18a06e8b303d032c2,1,145640,1,0
12237,3d3598d32a75fd80c9ba965f000639024e4ea1363188f44c5d3d6d6718aaa1a3,6,283648,31,0
12238,4b9cf4d0977b250d1369d2dd64d43132d40901021db179f227f0219ce8159fbe,6,283648,1,2
12239,5b5b1608e6736c7759b1ecf61e756794cf9ef3bb4752c315527bcc675480b6c6,18,2571442,31,0
12240,3f72a3784bb1156554eafe678af89d51edbc5df821af9a426cd29135d5e8fdc0,4,335280,1,0
12241,93bcfff6345a3524617e4e519795fbadb68ab9bac50113830464f00b3f55e40a,1,163960,1,0
12242,d3fc2d2baec0d62e149a4688297ee9409d3d4b3550db86eff2f4990e3d85cebf,1,142864,1,0
12243,9c58c77aca6eb67b068591989b43a834b3f583de8fc6163d91b0fa348c6cb240,1,183824,1,11
12244,030b3d2ebc2b5219e2f616396539999621381bcd7af0b5c3d94059c08b8d57b5,1,309328,2,0
12245,030e3e56a0bc2420614007074cb92ac2aa93f4f20a562d58f6a9adbddc9f7f8d,1,144384,32,0
12246,058e0b7bc667ec49271816bc7fe5dfd98b9a71733f33ee9bb1414bc0b472be57,1,125440,32,0
12247,06142e2d0197b560dbb0119b27e9f2f16dc342e9e8f6802ae7fc1d5df15e8bce,1,424448,8,0
12248,087080b12ca44de846c11b9c10ace325fae637fa0ccec2839052433798bd6e9c,1,144384,20,0
12249,0bfb31aafb9780b4b1d6f928aafad367feb5d99e78d602358a4f51a5c37b5c46,1,164352,32,0
12250,0deabb3326dcfb67da84d6c262672ea1f994b853366b75a39c9e1d79b0603588,1,167936,33,0
12251,0e48a0a7f83d5f857c4829bf4964b636dce226495e645889b5f176aacb35a5f5,1,165376,32,0
